question,answer,category
What is NLP? (Basic 48),NLP enables computers to understand human language.,AI
What is a computer? (Basic 49),A computer is an electronic device that processes data using instructions.,Basics
What is computer science? (Basic 50),Computer science is the study of computation and information systems.,Basics
What are input devices? (Basic 51),Input devices are hardware used to enter data into a computer.,Basics
What are output devices? (Basic 52),Output devices display processed information to users.,Basics
What is CPU? (Basic 53),CPU is the central processing unit that executes instructions.,Hardware
What is RAM? (Basic 54),RAM is temporary memory used while programs are running.,Hardware
What is ROM? (Basic 55),ROM is permanent memory that stores system instructions.,Hardware
What is a motherboard? (Basic 56),A motherboard connects all components of a computer.,Hardware
What is a programming language? (Basic 57),A programming language is used to write instructions for computers.,Programming
What is Python? (Basic 58),Python is a high-level interpreted programming language.,Programming
What is Java? (Basic 59),Java is an object-oriented programming language.,Programming
What is an algorithm? (Basic 60),An algorithm is a step-by-step solution to a problem.,Programming
What is networking? (Basic 61),Networking connects computers to share data.,Networking
What is an IP address? (Basic 62),An IP address identifies a device on a network.,Networking
What is the internet? (Basic 63),The internet is a global network of computers.,Networking
What is a protocol? (Basic 64),A protocol defines communication rules.,Networking
What is a database? (Basic 65),A database is an organized collection of data.,Database
What is DBMS? (Basic 66),DBMS is software used to manage databases.,Database
What is SQL? (Basic 67),SQL is used to query databases.,Database
What is a primary key? (Basic 68),A primary key uniquely identifies records.,Database
What is artificial intelligence? (Basic 69),AI is the simulation of human intelligence by machines.,AI
What is machine learning? (Basic 70),Machine learning allows systems to learn from data.,AI
What is deep learning? (Basic 71),Deep learning uses neural networks.,AI
What is NLP? (Basic 72),NLP enables computers to understand human language.,AI
What is a computer? (Basic 73),A computer is an electronic device that processes data using instructions.,Basics
What is computer science? (Basic 74),Computer science is the study of computation and information systems.,Basics
What are input devices? (Basic 75),Input devices are hardware used to enter data into a computer.,Basics
What are output devices? (Basic 76),Output devices display processed information to users.,Basics
What is CPU? (Basic 77),CPU is the central processing unit that executes instructions.,Hardware
What is RAM? (Basic 78),RAM is temporary memory used while programs are running.,Hardware
What is ROM? (Basic 79),ROM is permanent memory that stores system instructions.,Hardware
What is a motherboard? (Basic 80),A motherboard connects all components of a computer.,Hardware
What is a programming language? (Basic 81),A programming language is used to write instructions for computers.,Programming
What is Python? (Basic 82),Python is a high-level interpreted programming language.,Programming
What is Java? (Basic 83),Java is an object-oriented programming language.,Programming
What is an algorithm? (Basic 84),An algorithm is a step-by-step solution to a problem.,Programming
What is networking? (Basic 85),Networking connects computers to share data.,Networking
What is an IP address? (Basic 86),An IP address identifies a device on a network.,Networking
What is the internet? (Basic 87),The internet is a global network of computers.,Networking
What is a protocol? (Basic 88),A protocol defines communication rules.,Networking
What is a database? (Basic 89),A database is an organized collection of data.,Database
What is DBMS? (Basic 90),DBMS is software used to manage databases.,Database
What is SQL? (Basic 91),SQL is used to query databases.,Database
What is a primary key? (Basic 92),A primary key uniquely identifies records.,Database
What is artificial intelligence? (Basic 93),AI is the simulation of human intelligence by machines.,AI
What is machine learning? (Basic 94),Machine learning allows systems to learn from data.,AI
What is deep learning? (Basic 95),Deep learning uses neural networks.,AI
What is NLP? (Basic 96),NLP enables computers to understand human language.,AI
What is a computer? (Basic 97),A computer is an electronic device that processes data using instructions.,Basics
What is computer science? (Basic 98),Computer science is the study of computation and information systems.,Basics
What are input devices? (Basic 99),Input devices are hardware used to enter data into a computer.,Basics
What are output devices? (Basic 100),Output devices display processed information to users.,Basics
